Text ID,Text,Sentences,Error Flag,Error Type,Error Sentence ID,Error Sentence,Corrected Sentence,Corrected Text
ms-val-0,"A 24-year-old woman comes to the emergency department because of a 4-hour history of headaches, nausea, and vomiting. During this time, she has also had recurrent dizziness and palpitations. The symptoms started while she was at a friend's birthday party, where she had one beer. One week ago, the patient was diagnosed with a genitourinary infection and started on antimicrobial therapy. She has no history of major medical illness. Culture tests indicate Neisseria gonorrhoeae. Her pulse is 106/min and blood pressure is 102/73 mm Hg. Physical examination shows facial flushing and profuse sweating. ","0 A 24-year-old woman comes to the emergency department because of a 4-hour history of headaches, nausea, and vomiting.
1 During this time, she has also had recurrent dizziness and palpitations.
2 The symptoms started while she was at a friend's birthday party, where she had one beer.
3 One week ago, the patient was diagnosed with a genitourinary infection and started on antimicrobial therapy.
4 She has no history of major medical illness.
5 Culture tests indicate Neisseria gonorrhoeae.
6 Her pulse is
7 106/min and blood pressure is 102/73 mm
8 Hg.
9 Physical examination shows facial flushing and profuse sweating.",1,causalOrganism,5,Culture tests indicate Neisseria gonorrhoeae.,Culture tests indicate Trichomonas vaginalis.,"A 24-year-old woman comes to the emergency department because of a 4-hour history of headaches, nausea, and vomiting. During this time, she has also had recurrent dizziness and palpitations. The symptoms started while she was at a friend's birthday party, where she had one beer. One week ago, the patient was diagnosed with a genitourinary infection and started on antimicrobial therapy. She has no history of major medical illness. Culture tests indicate Trichomonas vaginalis. Her pulse is 106/min and blood pressure is 102/73 mm Hg. Physical examination shows facial flushing and profuse sweating. "
ms-val-1,"A 24-year-old woman comes to the emergency department because of a 4-hour history of headaches, nausea, and vomiting. During this time, she has also had recurrent dizziness and palpitations. The symptoms started while she was at a friend's birthday party, where she had one beer. One week ago, the patient was diagnosed with a genitourinary infection and started on antimicrobial therapy. She has no history of major medical illness. Her pulse is 106/min and blood pressure is 102/73 mm Hg. Physical examination shows facial flushing and profuse sweating. Culture tests indicate Trichomonas vaginalis. ","0 A 24-year-old woman comes to the emergency department because of a 4-hour history of headaches, nausea, and vomiting.
1 During this time, she has also had recurrent dizziness and palpitations.
2 The symptoms started while she was at a friend's birthday party, where she had one beer.
3 One week ago, the patient was diagnosed with a genitourinary infection and started on antimicrobial therapy.
4 She has no history of major medical illness.
5 Her pulse is
6 106/min and blood pressure is 102/73 mm
7 Hg.
8 Physical examination shows facial flushing and profuse sweating.
9 Culture tests indicate Trichomonas vaginalis.",0,NA,-1,NA,NA,NA
ms-val-2,"A 43-year-old woman comes to the physician because of a fever, nausea, and a nonproductive cough for 7 days. During this period, she has had headaches, generalized fatigue, and muscle and joint pain. She has also had increasing shortness of breath for 2 days. She has type 2 diabetes mellitus and osteoarthritis of her left knee. Current medications include insulin and ibuprofen. She had smoked two packs of cigarettes daily for 20 years but stopped 10 years ago. Her temperature is 38.1 C (100.6 F), pulse is 94/min, respirations are 18/min, and blood pressure is 132/86 mm Hg. The lungs are clear to auscultation. There are multiple skin lesions with a blue livid center, pale intermediate zone, and a dark red peripheral rim on the upper and lower extremities. Laboratory studies show:
Hemoglobin 14.6 g/dL
Leukocyte count 11,100/mm3
Serum
Na+ 137 mEq/L
K+ 4.1 mEq/L
Cl- 99 mEq/L
Urea nitrogen 17 mg/dL
Glucose 123 mg/dL
Creatinine 0.9 mg/dL
An x-ray of the chest is shown. Pathology confirms Streptococcus pneumoniae is the causal organism. ","0 A 43-year-old woman comes to the physician because of a fever, nausea, and a nonproductive cough for 7 days.
1 During this period, she has had headaches, generalized fatigue, and muscle and joint pain.
2 She has also had increasing shortness of breath for 2 days.
3 She has type 2 diabetes mellitus and osteoarthritis of her left knee.
4 Current medications include insulin and ibuprofen.
5 She had smoked two packs of cigarettes daily for 20 years but stopped 10 years ago.
6 Her temperature is 38.1 C (100.6 F), pulse is
7 94/min, respirations are 18/min, and blood pressure is 132/86 mm
8 Hg.
9 The lungs are clear to auscultation.
10 There are multiple skin lesions with a blue livid center, pale intermediate zone, and a dark red peripheral rim on the upper and lower extremities.
11 Laboratory studies show:

12 Hemoglobin 14.6 g
13 /dL

14 Leukocyte count 11,100/mm3
Serum
Na+ 137 mEq/
15 L
K+
16 4.1 mEq/L

17 Cl-
18 99 mEq/
19 L
Urea nitrogen
20 17 mg/dL

21 Glucose 123 mg/dL

22 Creatinine 0.9 mg/dL

23 An x-ray of the chest is shown.
24 Pathology confirms Streptococcus pneumoniae is the causal organism.",1,causalOrganism,24,Pathology confirms Streptococcus pneumoniae is the causal organism.,Pathology confirms Mycoplasma pneumoniae is the causal organism.,"A 43-year-old woman comes to the physician because of a fever, nausea, and a nonproductive cough for 7 days. During this period, she has had headaches, generalized fatigue, and muscle and joint pain. She has also had increasing shortness of breath for 2 days. She has type 2 diabetes mellitus and osteoarthritis of her left knee. Current medications include insulin and ibuprofen. She had smoked two packs of cigarettes daily for 20 years but stopped 10 years ago. Her temperature is 38.1 C (100.6 F), pulse is 94/min, respirations are 18/min, and blood pressure is 132/86 mm Hg. The lungs are clear to auscultation. There are multiple skin lesions with a blue livid center, pale intermediate zone, and a dark red peripheral rim on the upper and lower extremities. Laboratory studies show:
Hemoglobin 14.6 g/dL
Leukocyte count 11,100/mm3
Serum
Na+ 137 mEq/L
K+ 4.1 mEq/L
Cl- 99 mEq/L
Urea nitrogen 17 mg/dL
Glucose 123 mg/dL
Creatinine 0.9 mg/dL
An x-ray of the chest is shown. Pathology confirms Mycoplasma pneumoniae is the causal organism. "
ms-val-3,"A 4-year-old is brought into the emeregency room by his mother. The mother states that the child had a slight cough one week ago that has since worsened. The mother states the child's cough sounds like someone barking and states that he has also had mild fevers along with rhinorrhea. The patient's vitals are significant for a fever of 100.8 F, and his physical exam reveals inspiratory stridor. Laboratory studies confirm that he has a respiratory syncytial virus infection.","0 A 4-year-old is brought into the emeregency room by his mother.
1 The mother states that the child had a slight cough one week ago that has since worsened.
2 The mother states the child's cough sounds like someone barking and states that he has also had mild fevers along with rhinorrhea.
3 The patient's vitals are significant for a fever of 100.8 F, and his physical exam reveals inspiratory stridor.
4 Laboratory studies confirm that he has a respiratory syncytial virus infection.",1,causalOrganism,4,Laboratory studies confirm that he has a respiratory syncytial virus infection.,Laboratory studies confirm that he has parainfluenza virus.,"A 4-year-old is brought into the emeregency room by his mother. The mother states that the child had a slight cough one week ago that has since worsened. The mother states the child's cough sounds like someone barking and states that he has also had mild fevers along with rhinorrhea. The patient's vitals are significant for a fever of 100.8 F, and his physical exam reveals inspiratory stridor. Laboratory studies confirm that he has parainfluenza virus."
ms-val-4,A previously healthy 25-year-old man comes to the physician with a suspected Bartonella henselae infection because of a 1-week history of fever and fluid release from painful lumps in his right groin. He had an atraumatic ulceration of his penis about 1 month ago that was not painful and resolved on its own within 1 week. He works at an animal shelter for abandoned pets. He is sexually active with multiple male partners and does not use condoms. His temperature is 38.5 C (101.3 F). Examination of the groin shows numerous tender nodules with purulent discharge. The remainder of the examination shows no abnormalities.,"0 A previously healthy 25-year-old man comes to the physician with a suspected Bartonella henselae infection because of a 1-week history of fever and fluid release from painful lumps in his right groin.
1 He had an atraumatic ulceration of his penis about 1 month ago that was not painful and resolved on its own within 1 week.
2 He works at an animal shelter for abandoned pets.
3 He is sexually active with multiple male partners and does not use condoms.
4 His temperature is 38.5 C (101.3 F).
5 Examination of the groin shows numerous tender nodules with purulent discharge.
6 The remainder of the examination shows no abnormalities.",1,causalOrganism,0,A previously healthy 25-year-old man comes to the physician with a suspected Bartonella henselae infection because of a 1-week history of fever and fluid release from painful lumps in his right groin.,A previously healthy 25-year-old man comes to the physician with a suspected Chlamydia trachomatis infection because of a 1-week history of fever and fluid release from painful lumps in his right groin.,A previously healthy 25-year-old man comes to the physician with a suspected Chlamydia trachomatis infection because of a 1-week history of fever and fluid release from painful lumps in his right groin. He had an atraumatic ulceration of his penis about 1 month ago that was not painful and resolved on its own within 1 week. He works at an animal shelter for abandoned pets. He is sexually active with multiple male partners and does not use condoms. His temperature is 38.5 C (101.3 F). Examination of the groin shows numerous tender nodules with purulent discharge. The remainder of the examination shows no abnormalities.
ms-val-5,A previously healthy 25-year-old man comes to the physician because of a 1-week history of fever and fluid release from painful lumps in his right groin. He had an atraumatic ulceration of his penis about 1 month ago that was not painful and resolved on its own within 1 week. He works at an animal shelter for abandoned pets. He is sexually active with multiple male partners and does not use condoms. His temperature is 38.5 C (101.3 F). Examination of the groin shows numerous tender nodules with purulent discharge. The remainder of the examination shows no abnormalities. Chlamydia trachomatis is the causal pathogen.,"0 A previously healthy 25-year-old man comes to the physician because of a 1-week history of fever and fluid release from painful lumps in his right groin.
1 He had an atraumatic ulceration of his penis about 1 month ago that was not painful and resolved on its own within 1 week.
2 He works at an animal shelter for abandoned pets.
3 He is sexually active with multiple male partners and does not use condoms.
4 His temperature is 38.5 C (101.3 F).
5 Examination of the groin shows numerous tender nodules with purulent discharge.
6 The remainder of the examination shows no abnormalities.
7 Chlamydia trachomatis is the causal pathogen.",0,NA,-1,NA,NA,NA
ms-val-6,"A 14-year-old girl is brought to the physician by her father because of fever, chills, abdominal pain, and profuse non-bloody diarrhea. Her symptoms began one week ago, when she had several days of low-grade fever and constipation. She returned from Indonesia 2 weeks ago, where she spent the summer with her grandparents. Her temperature is 39.3 C (102.8 F). Examination shows diffuse abdominal tenderness and mild hepatosplenomegaly. There is a faint salmon-colored maculopapular rash on her trunk and abdomen. The patient has a vibrio cholerae infection.","0 A 14-year-old girl is brought to the physician by her father because of fever, chills, abdominal pain, and profuse non-bloody diarrhea.
1 Her symptoms began one week ago, when she had several days of low-grade fever and constipation.
2 She returned from Indonesia 2 weeks ago, where she spent the summer with her grandparents.
3 Her temperature is 39.3 C (102.8 F).
4 Examination shows diffuse abdominal tenderness and mild hepatosplenomegaly.
5 There is a faint salmon-colored maculopapular rash on her trunk and abdomen.
6 The patient has a vibrio cholerae infection.",1,causalOrganism,6,The patient has a vibrio cholerae infection.,The patient has a Salmonella typhi infection.,"A 14-year-old girl is brought to the physician by her father because of fever, chills, abdominal pain, and profuse non-bloody diarrhea. Her symptoms began one week ago, when she had several days of low-grade fever and constipation. She returned from Indonesia 2 weeks ago, where she spent the summer with her grandparents. Her temperature is 39.3 C (102.8 F). Examination shows diffuse abdominal tenderness and mild hepatosplenomegaly. There is a faint salmon-colored maculopapular rash on her trunk and abdomen. The patient has a Salmonella typhi infection."
ms-val-7,"A 14-year-old girl is brought to the physician by her father because of fever, chills, abdominal pain, and profuse non-bloody diarrhea. Her symptoms began one week ago, when she had several days of low-grade fever and constipation. She returned from Indonesia 2 weeks ago, where she spent the summer with her grandparents. Her temperature is 39.3 C (102.8 F). A Salmonella typhi infection is confirmed when examination shows diffuse abdominal tenderness and mild hepatosplenomegaly. There is a faint salmon-colored maculopapular rash on her trunk and abdomen. ","0 A 14-year-old girl is brought to the physician by her father because of fever, chills, abdominal pain, and profuse non-bloody diarrhea.
1 Her symptoms began one week ago, when she had several days of low-grade fever and constipation.
2 She returned from Indonesia 2 weeks ago, where she spent the summer with her grandparents.
3 Her temperature is 39.3 C (102.8 F).
4 A Salmonella typhi infection is confirmed when examination shows diffuse abdominal tenderness and mild hepatosplenomegaly.
5 There is a faint salmon-colored maculopapular rash on her trunk and abdomen.",0,NA,-1,NA,NA,NA
ms-val-8,"A previously healthy 24-year-old male is brought to the emergency department because of fevers, congestion, and chest pain for 3 days. The chest pain is exacerbated by deep inspiration. He takes no medications. His temperature is 37.5 C (99.5 F), blood pressure is 118/75 mm Hg, pulse is 130/min, and respirations are 12/min. He appears weak and lethargic. Cardiac examination shows a scratchy sound best heard along the left sternal border when the patient leans forward. There are crackles in both lung bases. Examination of the lower extremities shows pitting edema. Results of a rapid influenza test are negative. EKG shows diffuse ST-elevations with depressed PR interval. Suspected of paramyxovirus. An echocardiogram shows left ventricular chamber enlargement with contractile dysfunction. ","0 A previously healthy 24-year-old male is brought to the emergency department because of fevers, congestion, and chest pain for 3 days.
1 The chest pain is exacerbated by deep inspiration.
2 He takes no medications.
3 His temperature is 37.5 C (99.5 F), blood pressure is
4 118/75 mm
5 Hg, pulse is 130/min, and respirations are 12/min.
6 He appears weak and lethargic.
7 Cardiac examination shows a scratchy sound best heard along the left sternal border when the patient leans forward.
8 There are crackles in both lung bases.
9 Examination of the lower extremities shows pitting edema.
10 Results of a rapid influenza test are negative.
11 EKG shows diffuse ST-elevations with depressed PR interval.
12 Suspected of paramyxovirus.
13 An echocardiogram shows left ventricular chamber enlargement with contractile dysfunction.",1,causalOrganism,12,Suspected of paramyxovirus.,Suspected of picornavirus.,"A previously healthy 24-year-old male is brought to the emergency department because of fevers, congestion, and chest pain for 3 days. The chest pain is exacerbated by deep inspiration. He takes no medications. His temperature is 37.5 C (99.5 F), blood pressure is 118/75 mm Hg, pulse is 130/min, and respirations are 12/min. He appears weak and lethargic. Cardiac examination shows a scratchy sound best heard along the left sternal border when the patient leans forward. There are crackles in both lung bases. Examination of the lower extremities shows pitting edema. Results of a rapid influenza test are negative. EKG shows diffuse ST-elevations with depressed PR interval. Suspected of picornavirus. An echocardiogram shows left ventricular chamber enlargement with contractile dysfunction. "
ms-val-9,"A previously healthy 24-year-old male is brought to the emergency department because of fevers, congestion, and chest pain for 3 days. The chest pain is exacerbated by deep inspiration. He takes no medications. His temperature is 37.5 C (99.5 F), blood pressure is 118/75 mm Hg, pulse is 130/min, and respirations are 12/min. He appears weak and lethargic. Cardiac examination shows a scratchy sound best heard along the left sternal border when the patient leans forward. There are crackles in both lung bases. Examination of the lower extremities shows pitting edema. Results of a rapid influenza test are negative. EKG shows diffuse ST-elevations with depressed PR interval. An echocardiogram shows left ventricular chamber enlargement with contractile dysfunction. Suspected of picornavirus. ","0 A previously healthy 24-year-old male is brought to the emergency department because of fevers, congestion, and chest pain for 3 days.
1 The chest pain is exacerbated by deep inspiration.
2 He takes no medications.
3 His temperature is 37.5 C (99.5 F), blood pressure is
4 118/75 mm
5 Hg, pulse is 130/min, and respirations are 12/min.
6 He appears weak and lethargic.
7 Cardiac examination shows a scratchy sound best heard along the left sternal border when the patient leans forward.
8 There are crackles in both lung bases.
9 Examination of the lower extremities shows pitting edema.
10 Results of a rapid influenza test are negative.
11 EKG shows diffuse ST-elevations with depressed PR interval.
12 An echocardiogram shows left ventricular chamber enlargement with contractile dysfunction.
13 Suspected of picornavirus.",0,NA,-1,NA,NA,NA
